id	title
A01B	TRAVAIL DE LA TERRE EN AGRICULTURE OU EN SYLVICULTURE; PARTIES CONSTITUTIVES OU ACCESSOIRES DES MACHINES OU INSTRUMENTS AGRICOLES, EN GÉNÉRAL (ouverture ou recouvrement de sillons ou de trous pour ensemencement, plantation ou fumage A01C0005000000;machines pour la récolte des racines ou tubercules A01D;faucheuses convertibles en appareils de travail de la terre ou capables de travailler la terre A01D0042040000;faucheuses combinées avec des instruments de travail de la terre A01D0043120000;travail de la terre pour travaux publics ou exploitations minières E01, E02, E21)
A01C	PLANTATION; ENSEMENCEMENT; FERTILISATION (en combinaison avec le travail proprement dit de la terre A01B0049040000;parties constitutives ou accessoires des machines ou instruments agricoles, en général A01B0051000000-A01B0075000000)
A01D	RÉCOLTE; FAUCHAGE
A01F	BATTAGE (moissonneuses-batteuses A01D0041000000); MISE EN BALLES DE LA PAILLE, DU FOIN OU DE PRODUITS SIMILAIRES; APPAREILS FIXES OU OUTILS À MAIN POUR BOTTELER OU LIER LA PAILLE, LE FOIN OU LES PRODUITS SIMILAIRES; COUPE DE LA PAILLE, DU FOIN OU DE PRODUITS SIMILAIRES; EMMAGASINAGE DES PRODUITS AGRICOLES OU HORTICOLES (dispositions pour mettre la récolte en meules A01D0085000000)
A01G	HORTICULTURE; CULTURE DES LÉGUMES, DES FLEURS, DU RIZ, DES FRUITS, DE LA VIGNE, DU HOUBLON OU DES ALGUES; SYLVICULTURE; IRRIGATION (cueillette des fruits, des légumes, du houblon ou similaires A01D0046000000; propagation d'algues unicellulaires C12N0001120000)
A01H	NOUVEAUTÉS VÉGÉTALES OU PROCÉDÉS POUR LEUR OBTENTION; REPRODUCTION DE PLANTES PAR DES TECHNIQUES DE CULTURE DE TISSUS
A01J	FABRICATION DES PRODUITS LAITIERS (pour les aspects chimiques, voir la sous-classe A23C)
A01K	ÉLEVAGE; AVICULTURE; APICULTURE; PISCICULTURE; PÊCHE; OBTENTION D'ANIMAUX, NON PRÉVUE AILLEURS; NOUVELLES RACES D'ANIMAUX
A01L	MARÉCHALERIE
A01M	CAPTURE OU PIÉGEAGE DES ANIMAUX OU ÉPOUVANTAILS (dispositifs pour capturer les essaims ou les faux-bourdons A01K0057000000;  pêche A01K0069000000-A01K0097000000;  biocides, produits repoussant ou attirant les animaux nuisibles A01N); APPAREILS DE DESTRUCTION D'ANIMAUX OU DE PLANTES NUISIBLES
A01N	CONSERVATION DE CORPS HUMAINS OU ANIMAUX OU DE VÉGÉTAUX, OU DE PARTIES DE CEUX-CI  (conservation des aliments ou des produits alimentaires A23); BIOCIDES, p.ex. EN TANT QUE DÉSINFECTANTS, PESTICIDES OU HERBICIDES  (préparations destinées à un usage médical, dentaire ou pour la toilette, qui tuent les organismes indésirables ou empêchent leur croissance ou leur prolifération A61K); PRODUITS REPOUSSANT OU ATTIRANT LES ANIMAUX NUISIBLES; RÉGULATEURS DE CROISSANCE DES VÉGÉTAUX
A01P	ACTIVITÉ BIOCIDE, ACTIVITÉ DE RÉPULSION OU D'ATTRACTION DES ANIMAUX NUISIBLES, OU ACTIVITÉ DE RÉGULATION DE CROISSANCE DES VÉGÉTAUX, DE COMPOSÉS OU DE PRÉPARATIONS CHIMIQUES
